"Gene ID","Name","Type","Sequence_id","Start","End","Is Reversed","Transcript ID(s)"
"Cgd2_140","Cgd2_140","CDS","CM000430","41960","41962","0","Cgd2_140-RA"
"Cgd2_140","Cgd2_140","Intron","CM000430","41963","42085","0","Cgd2_140-RA"
"Cgd2_140","Cgd2_140","CDS","CM000430","42086","42233","0","Cgd2_140-RA"
"Cgd2_140","Cgd2_140","UTR","CM000430","41835","41959","0","Cgd2_140-RA"
"Cgd2_1810","Cgd2_1810","Intron","CM000430","374885","374927","1","Cgd2_1810-RA"
"Cgd2_1810","Cgd2_1810","CDS","CM000430","374242","374884","1","Cgd2_1810-RA"
"Cgd2_1810","Cgd2_1810","CDS","CM000430","374928","375229","1","Cgd2_1810-RA"
"Cgd2_2990","Cgd2_2990","CDS","CM000430","621617","622123","1","Cgd2_2990-RA"
"Cgd2_2990","Cgd2_2990","UTR","CM000430","622124","622330","1","Cgd2_2990-RA"
"Cgd3_2720","Cgd3_2720","Intron","CM000431","686265","686305","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","Intron","CM000431","685778","685820","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","685821","685912","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","Intron","CM000431","685913","685953","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","685954","686015","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","UTR","CM000431","686571","686682","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","686537","686570","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","Intron","CM000431","686483","686536","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","686306","686482","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","685657","685777","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","686197","686264","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","Intron","CM000431","686153","686196","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","CDS","CM000431","686062","686152","1","Cgd3_2720-RA"
"Cgd3_2720","Cgd3_2720","Intron","CM000431","686016","686061","1","Cgd3_2720-RA"
"Cgd3_4320","Cgd3_4320","UTR","CM000431","1088682","1089122","1","Cgd3_4320-RA"
"Cgd3_4320","Cgd3_4320","CDS","CM000431","1089123","1089261","1","Cgd3_4320-RA"
"Cgd3_4320","Cgd3_4320","Intron","CM000431","1089262","1089313","1","Cgd3_4320-RA"
"Cgd3_4320","Cgd3_4320","CDS","CM000431","1089314","1089429","1","Cgd3_4320-RA"
"Cgd3_4320","Cgd3_4320","UTR","CM000431","1089430","1089488","1","Cgd3_4320-RA"
"Cgd5_1900","Cgd5_1900","Intron","CM000433","400299","400346","1","Cgd5_1900-RA"
"Cgd5_1900","Cgd5_1900","CDS","CM000433","400347","400976","1","Cgd5_1900-RA"
"Cgd5_1900","Cgd5_1900","Intron","CM000433","400977","401096","1","Cgd5_1900-RA"
"Cgd5_1900","Cgd5_1900","CDS","CM000433","401097","401176","1","Cgd5_1900-RA"
"Cgd5_1900","Cgd5_1900","UTR","CM000433","401177","401212","1","Cgd5_1900-RA"
"Cgd5_1900","Cgd5_1900","CDS","CM000433","399947","400298","1","Cgd5_1900-RA"
"Cgd5_2965","Cgd5_2965","Exon","CM000433","670511","670608","0","Cgd5_2965-RA"
"Cgd5_40","Cgd5_40","CDS","CM000433","10685","16339","1","Cgd5_40-RA"
"Cgd5_540","Cgd5_540","UTR","CM000433","134531","134548","0","Cgd5_540-RA"
"Cgd5_540","Cgd5_540","CDS","CM000433","134348","134530","0","Cgd5_540-RA"
"Cgd5_540","Cgd5_540","Intron","CM000433","134291","134347","0","Cgd5_540-RA"
"Cgd5_540","Cgd5_540","CDS","CM000433","133906","134290","0","Cgd5_540-RA"
"Cgd5_540","Cgd5_540","Intron","CM000433","133702","133905","0","Cgd5_540-RA"
"Cgd5_540","Cgd5_540","CDS","CM000433","133679","133701","0","Cgd5_540-RA"
"Cgd5_540","Cgd5_540","UTR","CM000433","133655","133678","0","Cgd5_540-RA"
"Cgd6_2540","Cgd6_2540","CDS","CM000434","590972","591038","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","Intron","CM000434","591039","591110","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","UTR","CM000434","592377","592387","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","CDS","CM000434","591921","592376","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","Intron","CM000434","591873","591920","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","CDS","CM000434","591729","591872","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","Intron","CM000434","591682","591728","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","CDS","CM000434","591433","591681","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","Intron","CM000434","591385","591432","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","CDS","CM000434","591208","591384","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","Intron","CM000434","591164","591207","0","Cgd6_2540-RA"
"Cgd6_2540","Cgd6_2540","CDS","CM000434","591111","591163","0","Cgd6_2540-RA"
"Cgd6_280","Cgd6_280","CDS","CM000434","70926","71165","1","Cgd6_280-RA"
"Cgd6_280","Cgd6_280","UTR","CM000434","70795","70925","1","Cgd6_280-RA"
"Cgd6_280","Cgd6_280","UTR","CM000434","71166","71611","1","Cgd6_280-RA"
