"Gene ID","Name","Parent ID","Start Min","End Max","Transcript ID"
"Cgd2_140","7321805","13830675","23","31","Cgd2_140-RA"
"Cgd5_1900","7319439","13829917","205","233","Cgd5_1900-RA"
"Cgd5_1900","7319438","13829917","133","146","Cgd5_1900-RA"
"Cgd5_40","7318922","13829724","526","544","Cgd5_40-RA"
"Cgd5_40","7318923","13829724","572","589","Cgd5_40-RA"
"Cgd5_40","7318924","13829724","597","612","Cgd5_40-RA"
"Cgd5_40","7318925","13829724","617","642","Cgd5_40-RA"
"Cgd5_40","7318926","13829724","668","686","Cgd5_40-RA"
"Cgd5_40","7318927","13829724","723","734","Cgd5_40-RA"
"Cgd5_40","7318928","13829724","862","887","Cgd5_40-RA"
"Cgd5_40","7318929","13829724","916","929","Cgd5_40-RA"
"Cgd5_40","7318930","13829724","956","986","Cgd5_40-RA"
"Cgd5_40","7318932","13829724","1145","1153","Cgd5_40-RA"
"Cgd5_40","7318933","13829724","1165","1206","Cgd5_40-RA"
"Cgd5_40","7318934","13829724","1290","1315","Cgd5_40-RA"
"Cgd5_40","7318935","13829724","1385","1393","Cgd5_40-RA"
"Cgd5_40","7318936","13829724","1405","1448","Cgd5_40-RA"
"Cgd5_40","7318937","13829724","1533","1573","Cgd5_40-RA"
"Cgd5_40","7318938","13829724","1659","1697","Cgd5_40-RA"
"Cgd5_40","7318939","13829724","1729","1737","Cgd5_40-RA"
"Cgd5_40","7318940","13829724","1746","1762","Cgd5_40-RA"
"Cgd5_40","7318941","13829724","1765","1778","Cgd5_40-RA"
"Cgd5_40","7318942","13829724","1809","1818","Cgd5_40-RA"
"Cgd5_40","7318917","13829724","3","14","Cgd5_40-RA"
"Cgd5_40","7318918","13829724","303","317","Cgd5_40-RA"
"Cgd5_40","7318921","13829724","454","465","Cgd5_40-RA"
"Cgd5_40","7318920","13829724","428","439","Cgd5_40-RA"
"Cgd5_40","7318919","13829724","396","405","Cgd5_40-RA"
"Cgd5_40","7318931","13829724","1055","1085","Cgd5_40-RA"
"Cgd5_540","7319157","13829776","113","130","Cgd5_540-RA"
"Cgd5_540","7319155","13829776","34","45","Cgd5_540-RA"
"Cgd5_540","7319154","13829776","14","25","Cgd5_540-RA"
"Cgd5_540","7319156","13829776","54","68","Cgd5_540-RA"
"Cgd6_280","7329633","13833126","1","46","Cgd6_280-RA"
"Cgd6_280","7329634","13833126","49","71","Cgd6_280-RA"
"Cgd6_4720","7333410","13833585","140","148","Cgd6_4720-RA"
"Cgd7_2213","7325793","13832182","788","802","Cgd7_2213-RA"
"Cgd7_2213","7325792","13832182","215","231","Cgd7_2213-RA"
"Cgd7_260","7325216","13831977","15","33","Cgd7_260-RA"
"Cgd7_760","7325359","13832029","572","605","Cgd7_760-RA"
"Cgd7_760","7325358","13832029","550","568","Cgd7_760-RA"
"Cgd7_760","7325357","13832029","448","469","Cgd7_760-RA"
"Cgd7_760","7325356","13832029","234","246","Cgd7_760-RA"
"Cgd8_1200","7327222","13832653","360","377","Cgd8_1200-RA"
"Cgd8_1200","7327220","13832653","222","236","Cgd8_1200-RA"
"Cgd8_1200","7327225","13832653","523","533","Cgd8_1200-RA"
"Cgd8_1200","7327227","13832653","583","596","Cgd8_1200-RA"
"Cgd8_1200","7327228","13832653","646","660","Cgd8_1200-RA"
"Cgd8_1200","7327229","13832653","751","764","Cgd8_1200-RA"
"Cgd8_1200","7327231","13832653","775","789","Cgd8_1200-RA"
"Cgd8_1200","7327233","13832653","813","833","Cgd8_1200-RA"
"Cgd8_1200","7327234","13832653","903","916","Cgd8_1200-RA"
"Cgd8_1200","7327236","13832653","957","975","Cgd8_1200-RA"
"Cgd8_1200","7327237","13832653","1063","1081","Cgd8_1200-RA"
"Cgd8_1200","7327240","13832653","1087","1106","Cgd8_1200-RA"
"Cgd8_1200","7327218","13832653","195","213","Cgd8_1200-RA"
"Cgd8_1200","7327217","13832653","40","57","Cgd8_1200-RA"
"Cgd8_1200","7327223","13832653","459","470","Cgd8_1200-RA"
"cgd1_10","7322918","13831106","375","391","cgd1_10-RA"
"cgd1_10","7322917","13831106","281","290","cgd1_10-RA"
"cgd1_10","7322916","13831106","25","39","cgd1_10-RA"
"cgd1_100","7322940","13831115","144","167","cgd1_100-RA"
"cgd1_1000","7323222","13831210","31","36","cgd1_1000-RA"
"cgd1_1010","7323223","13831211","138","154","cgd1_1010-RA"
"cgd1_1040","7323227","13831213","455","465","cgd1_1040-RA"
"cgd1_1040","7323226","13831213","400","413","cgd1_1040-RA"
"cgd1_1040","7323225","13831213","303","322","cgd1_1040-RA"
"cgd1_1040","7323224","13831213","165","183","cgd1_1040-RA"
"cgd1_1040","7323228","13831213","567","576","cgd1_1040-RA"
"cgd1_1050","7323229","13831214","3","14","cgd1_1050-RA"
"cgd1_1060","7323230","13831215","176","190","cgd1_1060-RA"
"cgd1_1060","7323231","13831215","813","822","cgd1_1060-RA"
"cgd1_1060","7323232","13831215","901","914","cgd1_1060-RA"
"cgd1_1063","7323233","13831216","6","13","cgd1_1063-RA"
"cgd1_1063","7323234","13831216","42","64","cgd1_1063-RA"
"cgd1_1090","7323235","13831219","47","58","cgd1_1090-RA"
"cgd1_1090","7323236","13831219","136","149","cgd1_1090-RA"
"cgd1_1090","7323237","13831219","375","391","cgd1_1090-RA"
"cgd1_1090","7323238","13831219","603","624","cgd1_1090-RA"
"cgd1_1090","7323239","13831219","677","688","cgd1_1090-RA"
"cgd1_110","7322943","13831116","232","250","cgd1_110-RA"
"cgd1_110","7322942","13831116","196","208","cgd1_110-RA"
"cgd1_110","7322941","13831116","178","189","cgd1_110-RA"
"cgd1_1100","7323241","13831220","539","550","cgd1_1100-RA"
"cgd1_1100","7323240","13831220","277","286","cgd1_1100-RA"
"cgd1_1100","7323242","13831220","861","875","cgd1_1100-RA"
