chr;start;end;gene
chr1;3067;4995;cgd1_10
chr1;21326;24442;cgd1_100
chr1;255809;256705;cgd1_1000
chr1;257646;258372;cgd1_1010
chr1;258800;259847;cgd1_1023
chr1;259907;261670;cgd1_1040
chr1;263068;263505;cgd1_1050
chr1;263519;266686;cgd1_1060
chr1;267167;268225;cgd1_1063
chr1;267167;268225;cgd1_1070
chr1;268345;269114;cgd1_1080
chr1;269512;271946;cgd1_1090
chr1;24982;26491;cgd1_110
chr1;272652;275963;cgd1_1100
chr1;276248;277895;cgd1_1110
chr1;278525;280279;cgd1_1120
chr1;280646;281359;cgd1_1130
chr1;281745;282551;cgd1_1140
chr1;282861;283241;cgd1_1150
chr1;283685;284578;cgd1_1160
chr1;284738;285934;cgd1_1170
chr1;286071;288704;cgd1_1180
chr1;288782;289105;cgd1_1190
chr1;27975;29374;cgd1_120
chr1;289472;290395;cgd1_1200
chr1;290456;292144;cgd1_1210
chr1;292817;295093;cgd1_1220
chr1;295298;298495;cgd1_1230
chr1;298900;300582;cgd1_1240
chr1;301025;308356;cgd1_1250
chr1;308441;309675;cgd1_1260
chr1;309965;311179;cgd1_1270
chr1;311537;312919;cgd1_1280
chr1;313071;313871;cgd1_1290
chr1;29631;31879;cgd1_130
chr1;314390;317488;cgd1_1300
chr1;317780;319135;cgd1_1310
chr1;319284;319923;cgd1_1320
chr1;320556;322979;cgd1_1330
chr1;322976;326047;cgd1_1340
chr1;326311;328623;cgd1_1350
chr1;328652;329197;cgd1_1360
chr1;329808;330436;cgd1_1370
chr1;330735;331775;cgd1_1380
chr1;332277;333668;cgd1_1390
chr1;32681;36402;cgd1_140
chr1;333700;336588;cgd1_1400
chr1;336844;337983;cgd1_1410
chr1;338229;339770;cgd1_1420
chr1;340292;341640;cgd1_1433
chr1;341767;344124;cgd1_1450
chr1;344678;347830;cgd1_1460
chr1;347962;349959;cgd1_1470
chr1;350112;350795;cgd1_1480
chr1;351287;352954;cgd1_1490
chr1;39429;42553;cgd1_150
chr1;353203;354157;cgd1_1500
chr1;354224;355057;cgd1_1510
chr1;355626;364652;cgd1_1520
chr1;364748;366427;cgd1_1530
chr1;366900;368933;cgd1_1540
chr1;369535;371481;cgd1_1550
chr1;371642;372829;cgd1_1560
chr1;373207;374955;cgd1_1570
chr1;375101;377908;cgd1_1580
chr1;378790;379368;cgd1_1590
chr1;42900;45885;cgd1_160
chr1;379717;380109;cgd1_1600
chr1;380290;381687;cgd1_1610
chr1;381629;382838;cgd1_1620
chr1;382785;382857;cgd1_1625
chr1;382952;383879;cgd1_1630
chr1;384278;393271;cgd1_1640
chr1;393387;393788;cgd1_1650
chr1;394340;394663;cgd1_1660
chr1;395022;396407;cgd1_1670
chr1;396525;399626;cgd1_1680
chr1;399844;401826;cgd1_1690
chr1;49637;50494;cgd1_170
chr1;402221;404708;cgd1_1700
chr1;404762;406109;cgd1_1710
chr1;406233;411659;cgd1_1720
chr1;411652;412896;cgd1_1730
chr1;412989;413818;cgd1_1740
chr1;413981;415519;cgd1_1750
chr1;415455;416650;cgd1_1760
chr1;416827;417290;cgd1_1770
chr1;417317;418699;cgd1_1780
chr1;419448;421430;cgd1_1790
chr1;50964;52550;cgd1_180
chr1;421560;423041;cgd1_1800
chr1;423248;425269;cgd1_1810
chr1;425305;425883;cgd1_1820
chr1;427054;427671;cgd1_1830
chr1;428008;430806;cgd1_1840
chr1;430822;431271;cgd1_1850
chr1;431453;432583;cgd1_1860
chr1;432994;434454;cgd1_1870
chr1;434708;435319;cgd1_1880
chr1;435507;436240;cgd1_1890
chr1;52816;54498;cgd1_190
chr1;436349;437147;cgd1_1900
chr1;437337;438346;cgd1_1910
chr1;438483;452391;cgd1_1920
chr1;452503;454030;cgd1_1930
chr1;454102;454659;cgd1_1940
chr1;454724;455965;cgd1_1950
chr1;456062;456691;cgd1_1960
