"Gene ID","Sequence Level","Is Top Level","Genomic Sequence","lc_project_id","Location","organismAbbrev","start","end","is_reversed","start_context","end_context"
"Cgd2_140","chromosome","1","CM000430","cryptodb","41835 - 42233 (+)","cparIowaII","41835","42233","+","36835","47233"
"Cgd2_1810","chromosome","1","CM000430","cryptodb","374112 - 375302 (-)","cparIowaII","374112","375302","-","369112","380302"
"Cgd2_2990","chromosome","1","CM000430","cryptodb","621617 - 622330 (-)","cparIowaII","621617","622330","-","616617","627330"
"Cgd3_2720","chromosome","1","CM000431","cryptodb","685657 - 686682 (-)","cparIowaII","685657","686682","-","680657","691682"
"Cgd3_4320","chromosome","1","CM000431","cryptodb","1088682 - 1089488 (-)","cparIowaII","1088682","1089488","-","1083682","1094488"
"Cgd5_1900","chromosome","1","CM000433","cryptodb","399947 - 401212 (-)","cparIowaII","399947","401212","-","394947","406212"
"Cgd5_2965","chromosome","1","CM000433","cryptodb","670511 - 670608 (+)","cparIowaII","670511","670608","+","665511","675608"
"Cgd5_40","chromosome","1","CM000433","cryptodb","10685 - 16339 (-)","cparIowaII","10685","16339","-","5685","21339"
"Cgd5_540","chromosome","1","CM000433","cryptodb","133655 - 134548 (+)","cparIowaII","133655","134548","+","128655","139548"
"Cgd6_2540","chromosome","1","CM000434","cryptodb","590972 - 592387 (+)","cparIowaII","590972","592387","+","585972","597387"
"Cgd6_280","chromosome","1","CM000434","cryptodb","70795 - 71611 (-)","cparIowaII","70795","71611","-","65795","76611"
"Cgd6_4720","chromosome","1","CM000434","cryptodb","1123711 - 1124587 (-)","cparIowaII","1123711","1124587","-","1118711","1129587"
"Cgd6_4723","chromosome","1","CM000434","cryptodb","1125291 - 1125943 (+)","cparIowaII","1125291","1125943","+","1120291","1130943"
"Cgd7_2213","chromosome","1","CM000435","cryptodb","537421 - 540297 (-)","cparIowaII","537421","540297","-","532421","545297"
"Cgd7_260","chromosome","1","CM000435","cryptodb","59148 - 60311 (-)","cparIowaII","59148","60311","-","54148","65311"
"Cgd7_5103","chromosome","1","CM000435","cryptodb","1181259 - 1183538 (-)","cparIowaII","1181259","1183538","-","1176259","1188538"
"Cgd7_760","chromosome","1","CM000435","cryptodb","175783 - 178405 (-)","cparIowaII","175783","178405","-","170783","183405"
"Cgd8_1200","chromosome","1","CM000436","cryptodb","318410 - 323095 (+)","cparIowaII","318410","323095","+","313410","328095"
"Cgd8_1390","chromosome","1","CM000436","cryptodb","383871 - 384792 (-)","cparIowaII","383871","384792","-","378871","389792"
"cgd1_10","chromosome","1","CM000429","cryptodb","3067 - 4995 (-)","cparIowaII","3067","4995","-","-1933","9995"
"cgd1_100","chromosome","1","CM000429","cryptodb","21326 - 24442 (+)","cparIowaII","21326","24442","+","16326","29442"
"cgd1_1000","chromosome","1","CM000429","cryptodb","255809 - 256705 (-)","cparIowaII","255809","256705","-","250809","261705"
"cgd1_1010","chromosome","1","CM000429","cryptodb","257646 - 258372 (+)","cparIowaII","257646","258372","+","252646","263372"
"cgd1_1023","chromosome","1","CM000429","cryptodb","258800 - 259847 (+)","cparIowaII","258800","259847","+","253800","264847"
"cgd1_1040","chromosome","1","CM000429","cryptodb","259907 - 261670 (-)","cparIowaII","259907","261670","-","254907","266670"
"cgd1_1050","chromosome","1","CM000429","cryptodb","263068 - 263505 (+)","cparIowaII","263068","263505","+","258068","268505"
"cgd1_1060","chromosome","1","CM000429","cryptodb","263519 - 266686 (-)","cparIowaII","263519","266686","-","258519","271686"
"cgd1_1063","chromosome","1","CM000429","cryptodb","267167 - 268225 (+)","cparIowaII","267167","268225","+","262167","273225"
"cgd1_1070","chromosome","1","CM000429","cryptodb","267167 - 268225 (-)","cparIowaII","267167","268225","-","262167","273225"
"cgd1_1080","chromosome","1","CM000429","cryptodb","268345 - 269114 (+)","cparIowaII","268345","269114","+","263345","274114"
"cgd1_1090","chromosome","1","CM000429","cryptodb","269512 - 271946 (+)","cparIowaII","269512","271946","+","264512","276946"
"cgd1_110","chromosome","1","CM000429","cryptodb","24982 - 26491 (+)","cparIowaII","24982","26491","+","19982","31491"
"cgd1_1100","chromosome","1","CM000429","cryptodb","272652 - 275963 (+)","cparIowaII","272652","275963","+","267652","280963"
"cgd1_1110","chromosome","1","CM000429","cryptodb","276248 - 277895 (+)","cparIowaII","276248","277895","+","271248","282895"
"cgd1_1120","chromosome","1","CM000429","cryptodb","278525 - 280279 (+)","cparIowaII","278525","280279","+","273525","285279"
"cgd1_1130","chromosome","1","CM000429","cryptodb","280646 - 281359 (+)","cparIowaII","280646","281359","+","275646","286359"
"cgd1_1140","chromosome","1","CM000429","cryptodb","281745 - 282551 (+)","cparIowaII","281745","282551","+","276745","287551"
"cgd1_1150","chromosome","1","CM000429","cryptodb","282861 - 283241 (-)","cparIowaII","282861","283241","-","277861","288241"
"cgd1_1160","chromosome","1","CM000429","cryptodb","283685 - 284578 (+)","cparIowaII","283685","284578","+","278685","289578"
"cgd1_1170","chromosome","1","CM000429","cryptodb","284738 - 285934 (-)","cparIowaII","284738","285934","-","279738","290934"
"cgd1_1180","chromosome","1","CM000429","cryptodb","286071 - 288704 (-)","cparIowaII","286071","288704","-","281071","293704"
"cgd1_1190","chromosome","1","CM000429","cryptodb","288782 - 289105 (+)","cparIowaII","288782","289105","+","283782","294105"
"cgd1_120","chromosome","1","CM000429","cryptodb","27975 - 29374 (+)","cparIowaII","27975","29374","+","22975","34374"
"cgd1_1200","chromosome","1","CM000429","cryptodb","289472 - 290395 (+)","cparIowaII","289472","290395","+","284472","295395"
"cgd1_1210","chromosome","1","CM000429","cryptodb","290456 - 292144 (-)","cparIowaII","290456","292144","-","285456","297144"
"cgd1_1220","chromosome","1","CM000429","cryptodb","292817 - 295093 (+)","cparIowaII","292817","295093","+","287817","300093"
"cgd1_1230","chromosome","1","CM000429","cryptodb","295298 - 298495 (-)","cparIowaII","295298","298495","-","290298","303495"
"cgd1_1240","chromosome","1","CM000429","cryptodb","298900 - 300582 (-)","cparIowaII","298900","300582","-","293900","305582"
"cgd1_1250","chromosome","1","CM000429","cryptodb","301025 - 308356 (+)","cparIowaII","301025","308356","+","296025","313356"
"cgd1_1260","chromosome","1","CM000429","cryptodb","308441 - 309675 (-)","cparIowaII","308441","309675","-","303441","314675"
"cgd1_1270","chromosome","1","CM000429","cryptodb","309965 - 311179 (+)","cparIowaII","309965","311179","+","304965","316179"
"cgd1_1280","chromosome","1","CM000429","cryptodb","311537 - 312919 (+)","cparIowaII","311537","312919","+","306537","317919"
"cgd1_1290","chromosome","1","CM000429","cryptodb","313071 - 313871 (+)","cparIowaII","313071","313871","+","308071","318871"
"cgd1_130","chromosome","1","CM000429","cryptodb","29631 - 31879 (+)","cparIowaII","29631","31879","+","24631","36879"
"cgd1_1300","chromosome","1","CM000429","cryptodb","314390 - 317488 (-)","cparIowaII","314390","317488","-","309390","322488"
"cgd1_1310","chromosome","1","CM000429","cryptodb","317780 - 319135 (+)","cparIowaII","317780","319135","+","312780","324135"
"cgd1_1320","chromosome","1","CM000429","cryptodb","319284 - 319923 (+)","cparIowaII","319284","319923","+","314284","324923"
"cgd1_1330","chromosome","1","CM000429","cryptodb","320556 - 322979 (+)","cparIowaII","320556","322979","+","315556","327979"
"cgd1_1340","chromosome","1","CM000429","cryptodb","322976 - 326047 (-)","cparIowaII","322976","326047","-","317976","331047"
"cgd1_1350","chromosome","1","CM000429","cryptodb","326311 - 328623 (+)","cparIowaII","326311","328623","+","321311","333623"
