gene;start;end;state;chromosome;chr;color
Cgd2_140;41835;42233;Known function;2;chr2;2
Cgd2_1810;374112;375302;Known function;2;chr2;2
Cgd2_2990;621617;622330;Known function;2;chr2;2
Cgd3_2720;685657;686682;Unknown function;3;chr3;1
Cgd3_4320;1088682;1089488;Known function;3;chr3;2
Cgd5_1900;399947;401212;Known function;5;chr5;2
Cgd5_2965;670511;670608;Unknown function;5;chr5;1
Cgd5_40;10685;16339;Unknown function;5;chr5;1
Cgd5_540;133655;134548;Unknown function;5;chr5;1
Cgd6_2540;590972;592387;Known function;6;chr6;2
Cgd6_280;70795;71611;Unknown function;6;chr6;1
Cgd6_4720;1123711;1124587;Unknown function;6;chr6;1
Cgd6_4723;1125291;1125943;Unknown function;6;chr6;1
Cgd7_2213;537421;540297;Known function;7;chr7;2
Cgd7_260;59148;60311;Known function;7;chr7;2
Cgd7_5103;1181259;1183538;Unknown function;7;chr7;1
Cgd7_760;175783;178405;Known function;7;chr7;2
Cgd8_1200;318410;323095;Known function;8;chr8;2
Cgd8_1390;383871;384792;Unknown function;8;chr8;1
cgd1_10;3067;4995;Unknown function;1;chr1;1
cgd1_100;21326;24442;Unknown function;1;chr1;1
cgd1_1000;255809;256705;Unknown function;1;chr1;1
cgd1_1010;257646;258372;Unknown function;1;chr1;1
cgd1_1023;258800;259847;Known function;1;chr1;2
cgd1_1040;259907;261670;Unknown function;1;chr1;1
cgd1_1050;263068;263505;Known function;1;chr1;2
cgd1_1060;263519;266686;Unknown function;1;chr1;1
cgd1_1063;267167;268225;Unknown function;1;chr1;1
cgd1_1070;267167;268225;Known function;1;chr1;2
cgd1_1080;268345;269114;Known function;1;chr1;2
cgd1_1090;269512;271946;Unknown function;1;chr1;1
cgd1_110;24982;26491;Known function;1;chr1;2
cgd1_1100;272652;275963;Known function;1;chr1;2
cgd1_1110;276248;277895;Known function;1;chr1;2
cgd1_1120;278525;280279;Known function;1;chr1;2
cgd1_1130;280646;281359;Known function;1;chr1;2
cgd1_1140;281745;282551;Known function;1;chr1;2
cgd1_1150;282861;283241;Unknown function;1;chr1;1
cgd1_1160;283685;284578;Known function;1;chr1;2
cgd1_1170;284738;285934;Known function;1;chr1;2
cgd1_1180;286071;288704;Known function;1;chr1;2
cgd1_1190;288782;289105;Unknown function;1;chr1;1
cgd1_120;27975;29374;Known function;1;chr1;2
cgd1_1200;289472;290395;Unknown function;1;chr1;1
cgd1_1210;290456;292144;Unknown function;1;chr1;1
cgd1_1220;292817;295093;Known function;1;chr1;2
cgd1_1230;295298;298495;Known function;1;chr1;2
cgd1_1240;298900;300582;Known function;1;chr1;2
cgd1_1250;301025;308356;Known function;1;chr1;2
cgd1_1260;308441;309675;Unknown function;1;chr1;1
cgd1_1270;309965;311179;Known function;1;chr1;2
cgd1_1280;311537;312919;Known function;1;chr1;2
cgd1_1290;313071;313871;Known function;1;chr1;2
cgd1_130;29631;31879;Known function;1;chr1;2
cgd1_1300;314390;317488;Known function;1;chr1;2
cgd1_1310;317780;319135;Known function;1;chr1;2
cgd1_1320;319284;319923;Known function;1;chr1;2
cgd1_1330;320556;322979;Known function;1;chr1;2
cgd1_1340;322976;326047;Known function;1;chr1;2
cgd1_1350;326311;328623;Known function;1;chr1;2
cgd1_1360;328652;329197;Known function;1;chr1;2
cgd1_1370;329808;330436;Known function;1;chr1;2
cgd1_1380;330735;331775;Known function;1;chr1;2
cgd1_1390;332277;333668;Unknown function;1;chr1;1
cgd1_140;32681;36402;Known function;1;chr1;2
cgd1_1400;333700;336588;Unknown function;1;chr1;1
cgd1_1410;336844;337983;Unknown function;1;chr1;1
cgd1_1420;338229;339770;Known function;1;chr1;2
cgd1_1433;340292;341640;Unknown function;1;chr1;1
cgd1_1450;341767;344124;Known function;1;chr1;2
cgd1_1460;344678;347830;Unknown function;1;chr1;1
cgd1_1470;347962;349959;Unknown function;1;chr1;1
cgd1_1480;350112;350795;Unknown function;1;chr1;1
cgd1_1490;351287;352954;Known function;1;chr1;2
cgd1_150;39429;42553;Known function;1;chr1;2
cgd1_1500;353203;354157;Unknown function;1;chr1;1
cgd1_1510;354224;355057;Known function;1;chr1;2
cgd1_1520;355626;364652;Known function;1;chr1;2
cgd1_1530;364748;366427;Known function;1;chr1;2
cgd1_1540;366900;368933;Known function;1;chr1;2
cgd1_1550;369535;371481;Unknown function;1;chr1;1
cgd1_1560;371642;372829;Known function;1;chr1;2
cgd1_1570;373207;374955;Known function;1;chr1;2
cgd1_1580;375101;377908;Known function;1;chr1;2
cgd1_1590;378790;379368;Unknown function;1;chr1;1
cgd1_160;42900;45885;Known function;1;chr1;2
cgd1_1600;379717;380109;Known function;1;chr1;2
cgd1_1610;380290;381687;Unknown function;1;chr1;1
cgd1_1620;381629;382838;Known function;1;chr1;2
cgd1_1625;382785;382857;Unknown function;1;chr1;1
cgd1_1630;382952;383879;Unknown function;1;chr1;1
cgd1_1640;384278;393271;Known function;1;chr1;2
cgd1_1650;393387;393788;Unknown function;1;chr1;1
cgd1_1660;394340;394663;Known function;1;chr1;2
cgd1_1670;395022;396407;Known function;1;chr1;2
cgd1_1680;396525;399626;Known function;1;chr1;2
cgd1_1690;399844;401826;Known function;1;chr1;2
cgd1_170;49637;50494;Unknown function;1;chr1;1
cgd1_1700;402221;404708;Known function;1;chr1;2
cgd1_1710;404762;406109;Known function;1;chr1;2
cgd1_1720;406233;411659;Known function;1;chr1;2
cgd1_1730;411652;412896;Known function;1;chr1;2
cgd1_1740;412989;413818;Known function;1;chr1;2
cgd1_1750;413981;415519;Known function;1;chr1;2
cgd1_1760;415455;416650;Known function;1;chr1;2
cgd1_1770;416827;417290;Known function;1;chr1;2
cgd1_1780;417317;418699;Unknown function;1;chr1;1
cgd1_1790;419448;421430;Known function;1;chr1;2
cgd1_180;50964;52550;Unknown function;1;chr1;1
cgd1_1800;421560;423041;Known function;1;chr1;2
cgd1_1810;423248;425269;Unknown function;1;chr1;1
cgd1_1820;425305;425883;Known function;1;chr1;2
cgd1_1830;427054;427671;Known function;1;chr1;2
cgd1_1840;428008;430806;Known function;1;chr1;2
cgd1_1850;430822;431271;Known function;1;chr1;2
cgd1_1860;431453;432583;Known function;1;chr1;2
cgd1_1870;432994;434454;Unknown function;1;chr1;1
cgd1_1880;434708;435319;Unknown function;1;chr1;1
cgd1_1890;435507;436240;Known function;1;chr1;2
cgd1_190;52816;54498;Known function;1;chr1;2
cgd1_1900;436349;437147;Known function;1;chr1;2
cgd1_1910;437337;438346;Known function;1;chr1;2
cgd1_1920;438483;452391;Known function;1;chr1;2
cgd1_1930;452503;454030;Known function;1;chr1;2
cgd1_1940;454102;454659;Known function;1;chr1;2
cgd1_1950;454724;455965;Known function;1;chr1;2
cgd1_1960;456062;456691;Known function;1;chr1;2
cgd1_1970;456945;457853;Known function;1;chr1;2
cgd1_1980;458429;459922;Known function;1;chr1;2
cgd1_1990;460041;461017;Known function;1;chr1;2
cgd1_20;5188;6651;Unknown function;1;chr1;1
cgd1_200;54728;55322;Known function;1;chr1;2
cgd1_2000;461235;463328;Known function;1;chr1;2
cgd1_2010;463385;465283;Unknown function;1;chr1;1
cgd1_2020;465673;466293;Unknown function;1;chr1;1
cgd1_203;55433;55963;Known function;1;chr1;2
cgd1_2030;466575;468131;Known function;1;chr1;2
cgd1_2040;468380;469978;Known function;1;chr1;2
cgd1_2050;470675;471475;Known function;1;chr1;2
cgd1_2060;471730;472387;Known function;1;chr1;2
cgd1_2070;472950;474449;Unknown function;1;chr1;1
