"Gene ID","Ontology","GO ID","Is Not","GO Term Name","Source","Evidence Code","Reference","Support for Evidence Code Assignment","sort_key","Transcript ID(s)"
"Cgd2_140","Cellular Component","GO:0005783","N/A","endoplasmic reticulum","Interpro","IEA","N/A","N/A","CGO:0005783","Cgd2_140-RA"
"Cgd2_1810","Biological Process","GO:0046854","N/A","phosphatidylinositol phosphorylation","Interpro","IEA","N/A","N/A","BGO:0046854","Cgd2_1810-RA"
"Cgd2_2990","Biological Process","GO:0006412","N/A","translation","Interpro","IEA","N/A","N/A","BGO:0006412","Cgd2_2990-RA"
"Cgd2_2990","Cellular Component","GO:0005622","N/A","intracellular","Interpro","IEA","N/A","N/A","CGO:0005622","Cgd2_2990-RA"
"Cgd2_2990","Cellular Component","GO:0005840","N/A","ribosome","Interpro","IEA","N/A","N/A","CGO:0005840","Cgd2_2990-RA"
"Cgd2_2990","Molecular Function","GO:0003735","N/A","structural constituent of ribosome","Interpro","IEA","N/A","N/A","MGO:0003735","Cgd2_2990-RA"
"Cgd3_2720","Biological Process","GO:0000737","N/A","DNA catabolic process, endonucleolytic","Interpro","IEA","N/A","N/A","BGO:0000737","Cgd3_2720-RA"
"Cgd3_2720","Cellular Component","GO:0005694","N/A","chromosome","Interpro","IEA","N/A","N/A","CGO:0005694","Cgd3_2720-RA"
"Cgd3_2720","Molecular Function","GO:0003677","N/A","DNA binding","Interpro","IEA","N/A","N/A","MGO:0003677","Cgd3_2720-RA"
"Cgd3_4320","Biological Process","GO:0006352","N/A","DNA-templated transcription, initiation","Interpro","IEA","N/A","N/A","BGO:0006352","Cgd3_4320-RA"
"Cgd3_4320","Biological Process","GO:0044237","N/A","cellular metabolic process","Interpro","IEA","N/A","N/A","BGO:0044237","Cgd3_4320-RA"
"Cgd3_4320","Cellular Component","GO:0030880","N/A","RNA polymerase complex","Interpro","IEA","N/A","N/A","CGO:0030880","Cgd3_4320-RA"
"Cgd3_4320","Molecular Function","GO:0000166","N/A","nucleotide binding","Interpro","IEA","N/A","N/A","MGO:0000166","Cgd3_4320-RA"
"Cgd3_4320","Molecular Function","GO:0003824","N/A","catalytic activity","Interpro","IEA","N/A","N/A","MGO:0003824","Cgd3_4320-RA"
"Cgd6_2540","Biological Process","GO:0008033","N/A","tRNA processing","Interpro","IEA","N/A","N/A","BGO:0008033","Cgd6_2540-RA"
"Cgd7_760","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","Cgd7_760-RA"
"Cgd8_1200","Molecular Function","GO:0004842","N/A","ubiquitin-protein transferase activity","Interpro","IEA","N/A","N/A","MGO:0004842","Cgd8_1200-RA"
"cgd1_1023","Cellular Component","GO:0005634","N/A","nucleus","Interpro","IEA","N/A","N/A","CGO:0005634","cgd1_1023-RA"
"cgd1_1060","Molecular Function","GO:0005488","N/A","binding","Interpro","IEA","N/A","N/A","MGO:0005488","cgd1_1060-RA"
