chr;start;end;color
chr1;3067;4995;1
chr1;21326;24442;1
chr1;255809;256705;1
chr1;257646;258372;1
chr1;258800;259847;2
chr1;259907;261670;1
chr1;263068;263505;2
chr1;263519;266686;1
chr1;267167;268225;1
chr1;267167;268225;2
chr1;268345;269114;2
chr1;269512;271946;1
chr1;24982;26491;2
chr1;272652;275963;2
chr1;276248;277895;2
chr1;278525;280279;2
chr1;280646;281359;2
chr1;281745;282551;2
chr1;282861;283241;1
chr1;283685;284578;2
chr1;284738;285934;2
chr1;286071;288704;2
chr1;288782;289105;1
chr1;27975;29374;2
chr1;289472;290395;1
chr1;290456;292144;1
chr1;292817;295093;2
chr1;295298;298495;2
chr1;298900;300582;2
chr1;301025;308356;2
chr1;308441;309675;1
chr1;309965;311179;2
chr1;311537;312919;2
chr1;313071;313871;2
chr1;29631;31879;2
chr1;314390;317488;2
chr1;317780;319135;2
chr1;319284;319923;2
chr1;320556;322979;2
chr1;322976;326047;2
chr1;326311;328623;2
chr1;328652;329197;2
chr1;329808;330436;2
chr1;330735;331775;2
chr1;332277;333668;1
chr1;32681;36402;2
chr1;333700;336588;1
chr1;336844;337983;1
chr1;338229;339770;2
chr1;340292;341640;1
chr1;341767;344124;2
chr1;344678;347830;1
chr1;347962;349959;1
chr1;350112;350795;1
chr1;351287;352954;2
chr1;39429;42553;2
chr1;353203;354157;1
chr1;354224;355057;2
chr1;355626;364652;2
chr1;364748;366427;2
chr1;366900;368933;2
chr1;369535;371481;1
chr1;371642;372829;2
chr1;373207;374955;2
chr1;375101;377908;2
chr1;378790;379368;1
chr1;42900;45885;2
chr1;379717;380109;2
chr1;380290;381687;1
chr1;381629;382838;2
chr1;382785;382857;1
chr1;382952;383879;1
chr1;384278;393271;2
chr1;393387;393788;1
chr1;394340;394663;2
chr1;395022;396407;2
chr1;396525;399626;2
chr1;399844;401826;2
chr1;49637;50494;1
chr1;402221;404708;2
chr1;404762;406109;2
chr1;406233;411659;2
chr1;411652;412896;2
chr1;412989;413818;2
chr1;413981;415519;2
chr1;415455;416650;2
chr1;416827;417290;2
chr1;417317;418699;1
chr1;419448;421430;2
chr1;50964;52550;1
chr1;421560;423041;2
chr1;423248;425269;1
chr1;425305;425883;2
chr1;427054;427671;2
chr1;428008;430806;2
chr1;430822;431271;2
chr1;431453;432583;2
chr1;432994;434454;1
chr1;434708;435319;1
chr1;435507;436240;2
chr1;52816;54498;2
chr1;436349;437147;2
chr1;437337;438346;2
chr1;438483;452391;2
chr1;452503;454030;2
chr1;454102;454659;2
chr1;454724;455965;2
chr1;456062;456691;2
chr1;456945;457853;2
chr1;458429;459922;2
chr1;460041;461017;2
chr1;5188;6651;1
chr1;54728;55322;2
chr1;461235;463328;2
chr1;463385;465283;1
chr1;465673;466293;1
chr1;55433;55963;2
chr1;466575;468131;2
chr1;468380;469978;2
chr1;470675;471475;2
chr1;471730;472387;2
chr1;472950;474449;1
chr1;474501;475193;1
chr1;475337;476449;1
chr1;56167;56781;1
chr1;476885;478391;2
chr1;478877;483550;2
chr1;483770;486559;2
chr1;486595;488517;2
chr1;488649;489494;1
chr1;489591;491660;2
chr1;491736;493985;2
chr1;494029;495242;2
chr1;495337;497118;2
chr1;497257;500190;2
chr1;56680;57960;2
chr1;500382;501755;1
chr1;501808;502167;1
chr1;502406;503047;1
chr1;503066;504262;2
chr1;504779;506056;2
chr1;506132;506563;2
chr1;506610;507044;2
chr1;507293;507616;2
chr1;507887;508444;2
chr1;508802;510844;1
chr1;510967;511247;1
chr1;58180;59604;2
chr1;511639;516339;2
chr1;516501;517043;2
chr1;517055;517395;2
chr1;517500;518822;2
chr1;520006;520848;2
chr1;521084;521629;2
chr1;522105;523784;1
chr1;524153;525067;2
chr1;525161;526150;2
chr1;526551;528239;2
chr1;528904;529563;1
chr1;59663;60727;2
chr1;530055;531050;2
chr1;531205;531758;1
chr1;531909;535231;1
chr1;535340;536512;2
chr1;536725;537660;2
chr1;538076;539461;2
chr1;539488;542235;2
chr1;543294;543866;1
chr1;544192;545142;2
chr1;545389;546795;2
chr1;546852;547902;2
chr1;60920;62553;2
chr1;548148;550046;2
chr1;550092;550970;1
chr1;551729;552049;1
chr1;552648;556544;2
chr1;556748;560314;2
chr1;560448;560984;2
chr1;561198;562127;2
chr1;563744;568090;2
chr1;568287;569030;2
chr1;569050;569820;2
chr1;62769;64154;2
chr1;570077;572338;2
chr1;572516;578779;1
chr1;577426;580460;2
chr1;581046;582203;2
chr1;582312;582384;1
chr1;582439;582792;2
chr1;583072;585675;2
chr1;585729;586991;2
chr1;586477;587099;1
chr1;587155;588666;2
chr1;588932;589860;2
chr1;589981;590184;2
chr1;64565;65073;2
chr1;590496;591719;2
chr1;592004;593071;2
chr1;593286;595568;1
chr1;596450;598531;2
chr1;599021;601606;2
chr1;601792;603687;2
chr1;603771;604967;2
chr1;605276;609121;2
chr1;609331;610491;1
chr1;610524;611306;1
chr1;611322;611919;2
chr1;65365;66468;2
chr1;612050;612571;2
chr1;612638;614398;2
chr1;614510;615617;2
chr1;615716;620286;2
chr1;620685;624152;2
chr1;624563;626172;2
chr1;626467;628545;2
chr1;628736;630669;1
chr1;630870;633815;2
chr1;66597;68096;2
chr1;634151;635923;1
chr1;636010;636429;2
chr1;636773;637435;2
chr1;638267;639043;1
chr1;639164;640005;2
chr1;640214;641569;2
chr1;641710;644137;2
chr1;644643;645809;2
chr1;646081;646824;2
chr1;647242;647658;2
chr1;6974;11926;1
chr1;68193;68615;2
chr1;648187;648675;2
chr1;649237;650091;2
chr1;650743;651852;2
chr1;651970;654432;2
chr1;655188;656432;1
chr1;656413;657165;2
chr1;658046;659425;2
chr1;659470;660942;2
chr1;661070;672657;2
chr1;672731;673723;2
chr1;673771;674997;1
chr1;675260;675330;1
chr1;68873;69967;2
chr1;675473;677652;2
chr1;677502;680039;1
chr1;680648;682896;2
chr1;683080;685158;2
chr1;685948;686565;2
chr1;687135;688118;2
chr1;689611;693969;2
chr1;694172;699031;2
chr1;699723;701093;1
chr1;701488;703877;1
chr1;70178;71950;2
chr1;704139;705002;2
chr1;706289;709411;1
chr1;710029;712050;2
chr1;713631;716270;2
chr1;716477;726031;1
chr1;726527;727252;2
chr1;727655;728692;1
chr1;728994;731316;2
chr1;731680;732618;1
chr1;732786;735192;2
chr1;72883;75530;2
chr1;736631;737521;2
chr1;738098;738781;2
chr1;739452;740306;2
chr1;741190;741820;1
chr1;741906;743389;2
chr1;743738;744332;2
chr1;744658;745176;1
chr1;745203;747194;2
chr1;747802;748437;2
chr1;748525;749413;2
chr1;750275;752158;2
chr1;76056;77538;2
chr1;752378;753617;1
chr1;754173;754445;1
chr1;755245;757449;2
chr1;757497;757924;1
chr1;757931;759400;2
chr1;759624;761868;1
chr1;762073;763032;2
chr1;763730;764422;2
chr1;764430;766267;2
chr1;766844;767300;1
chr1;77948;80290;2
chr1;768100;770594;2
chr1;770993;772753;2
chr1;773437;775107;2
chr1;776497;779176;2
chr1;779715;785534;2
chr1;786072;786694;1
chr1;788091;790868;2
chr1;792033;792413;1
chr1;793113;794372;2
chr1;796034;796462;1
chr1;796519;797339;1
chr1;797516;798853;1
chr1;81290;83800;2
chr1;799450;801953;1
chr1;802160;804967;2
chr1;806176;807282;2
chr1;807664;809901;2
chr1;810344;811912;1
chr1;812674;813732;1
chr1;814034;814651;2
chr1;815338;821955;2
chr1;822452;824064;2
chr1;824333;827410;2
chr1;84017;86260;2
chr1;828590;829951;2
chr1;830164;832251;2
chr1;833003;834387;2
chr1;834953;837043;2
chr1;837447;841670;2
chr1;841889;842749;2
chr1;842976;846455;1
chr1;846723;847413;1
chr1;847536;849980;2
chr1;850156;853974;1
chr1;86560;87986;2
chr1;854756;855328;1
chr1;855666;858404;1
chr1;859106;862093;1
chr1;862446;863049;1
chr1;863231;866454;2
chr1;868819;871593;2
chr1;873501;874792;2
chr1;88568;89564;1
chr1;12064;13215;2
chr1;89770;91956;2
chr1;91981;92589;2
chr1;93432;94158;2
chr1;94302;95066;2
chr1;95287;96227;2
chr1;96245;98250;1
chr1;98340;100354;1
chr1;101219;104017;2
chr1;105168;105665;1
chr1;105665;106057;1
chr1;106501;107305;1
chr1;46;743;1
chr1;13330;16469;2
chr1;107652;109128;2
chr1;109328;111233;1
chr1;111384;112805;2
chr1;112972;113558;2
chr1;113855;114565;2
chr1;115401;116261;2
chr1;116770;125757;1
chr1;125943;127567;2
chr1;127759;128463;2
chr1;129783;132723;2
chr1;133646;141229;1
chr1;16597;17499;2
chr1;141693;143247;2
chr1;143466;144229;2
chr1;144482;145798;1
chr1;146344;147273;1
chr1;147624;153926;2
chr1;152853;152933;1
chr1;153238;157059;2
chr1;157604;158620;2
chr1;159886;163416;2
chr1;163656;165448;1
chr1;165645;167049;1
chr1;17693;18049;1
chr1;167685;171980;2
