chr;start;end
chr1;3067;4995
chr1;21326;24442
chr1;255809;256705
chr1;257646;258372
chr1;258800;259847
chr1;259907;261670
chr1;263068;263505
chr1;263519;266686
chr1;267167;268225
chr1;267167;268225
chr1;268345;269114
chr1;269512;271946
chr1;24982;26491
chr1;272652;275963
chr1;276248;277895
chr1;278525;280279
chr1;280646;281359
chr1;281745;282551
chr1;282861;283241
chr1;283685;284578
chr1;284738;285934
chr1;286071;288704
chr1;288782;289105
chr1;27975;29374
chr1;289472;290395
chr1;290456;292144
chr1;292817;295093
chr1;295298;298495
chr1;298900;300582
chr1;301025;308356
chr1;308441;309675
chr1;309965;311179
chr1;311537;312919
chr1;313071;313871
chr1;29631;31879
chr1;314390;317488
chr1;317780;319135
chr1;319284;319923
chr1;320556;322979
chr1;322976;326047
chr1;326311;328623
chr1;328652;329197
chr1;329808;330436
chr1;330735;331775
chr1;332277;333668
chr1;32681;36402
chr1;333700;336588
chr1;336844;337983
chr1;338229;339770
chr1;340292;341640
chr1;341767;344124
chr1;344678;347830
chr1;347962;349959
chr1;350112;350795
chr1;351287;352954
chr1;39429;42553
chr1;353203;354157
chr1;354224;355057
chr1;355626;364652
chr1;364748;366427
chr1;366900;368933
chr1;369535;371481
chr1;371642;372829
chr1;373207;374955
chr1;375101;377908
chr1;378790;379368
chr1;42900;45885
chr1;379717;380109
chr1;380290;381687
chr1;381629;382838
chr1;382785;382857
chr1;382952;383879
chr1;384278;393271
chr1;393387;393788
chr1;394340;394663
chr1;395022;396407
chr1;396525;399626
chr1;399844;401826
chr1;49637;50494
chr1;402221;404708
chr1;404762;406109
chr1;406233;411659
chr1;411652;412896
chr1;412989;413818
chr1;413981;415519
chr1;415455;416650
chr1;416827;417290
chr1;417317;418699
chr1;419448;421430
chr1;50964;52550
chr1;421560;423041
chr1;423248;425269
chr1;425305;425883
chr1;427054;427671
chr1;428008;430806
chr1;430822;431271
chr1;431453;432583
chr1;432994;434454
chr1;434708;435319
chr1;435507;436240
chr1;52816;54498
chr1;436349;437147
chr1;437337;438346
chr1;438483;452391
chr1;452503;454030
chr1;454102;454659
chr1;454724;455965
chr1;456062;456691
chr1;456945;457853
chr1;458429;459922
chr1;460041;461017
chr1;5188;6651
chr1;54728;55322
chr1;461235;463328
chr1;463385;465283
chr1;465673;466293
chr1;55433;55963
chr1;466575;468131
chr1;468380;469978
chr1;470675;471475
chr1;471730;472387
chr1;472950;474449
chr1;474501;475193
chr1;475337;476449
chr1;56167;56781
chr1;476885;478391
chr1;478877;483550
chr1;483770;486559
chr1;486595;488517
chr1;488649;489494
chr1;489591;491660
chr1;491736;493985
chr1;494029;495242
chr1;495337;497118
chr1;497257;500190
chr1;56680;57960
chr1;500382;501755
chr1;501808;502167
chr1;502406;503047
chr1;503066;504262
chr1;504779;506056
chr1;506132;506563
chr1;506610;507044
chr1;507293;507616
chr1;507887;508444
chr1;508802;510844
chr1;510967;511247
chr1;58180;59604
chr1;511639;516339
chr1;516501;517043
chr1;517055;517395
chr1;517500;518822
chr1;520006;520848
chr1;521084;521629
chr1;522105;523784
chr1;524153;525067
chr1;525161;526150
chr1;526551;528239
chr1;528904;529563
chr1;59663;60727
chr1;530055;531050
chr1;531205;531758
chr1;531909;535231
chr1;535340;536512
chr1;536725;537660
chr1;538076;539461
chr1;539488;542235
chr1;543294;543866
chr1;544192;545142
chr1;545389;546795
chr1;546852;547902
chr1;60920;62553
chr1;548148;550046
chr1;550092;550970
chr1;551729;552049
chr1;552648;556544
chr1;556748;560314
chr1;560448;560984
chr1;561198;562127
chr1;563744;568090
chr1;568287;569030
chr1;569050;569820
chr1;62769;64154
chr1;570077;572338
chr1;572516;578779
chr1;577426;580460
chr1;581046;582203
chr1;582312;582384
chr1;582439;582792
chr1;583072;585675
chr1;585729;586991
chr1;586477;587099
chr1;587155;588666
chr1;588932;589860
chr1;589981;590184
chr1;64565;65073
chr1;590496;591719
chr1;592004;593071
chr1;593286;595568
chr1;596450;598531
chr1;599021;601606
chr1;601792;603687
chr1;603771;604967
chr1;605276;609121
chr1;609331;610491
chr1;610524;611306
chr1;611322;611919
chr1;65365;66468
chr1;612050;612571
chr1;612638;614398
chr1;614510;615617
chr1;615716;620286
chr1;620685;624152
chr1;624563;626172
chr1;626467;628545
chr1;628736;630669
chr1;630870;633815
chr1;66597;68096
chr1;634151;635923
chr1;636010;636429
chr1;636773;637435
chr1;638267;639043
chr1;639164;640005
chr1;640214;641569
chr1;641710;644137
chr1;644643;645809
chr1;646081;646824
chr1;647242;647658
chr1;6974;11926
chr1;68193;68615
chr1;648187;648675
chr1;649237;650091
chr1;650743;651852
chr1;651970;654432
chr1;655188;656432
chr1;656413;657165
chr1;658046;659425
chr1;659470;660942
chr1;661070;672657
chr1;672731;673723
chr1;673771;674997
chr1;675260;675330
chr1;68873;69967
chr1;675473;677652
chr1;677502;680039
chr1;680648;682896
chr1;683080;685158
chr1;685948;686565
chr1;687135;688118
chr1;689611;693969
chr1;694172;699031
chr1;699723;701093
chr1;701488;703877
chr1;70178;71950
chr1;704139;705002
chr1;706289;709411
chr1;710029;712050
chr1;713631;716270
chr1;716477;726031
chr1;726527;727252
chr1;727655;728692
chr1;728994;731316
chr1;731680;732618
chr1;732786;735192
chr1;72883;75530
chr1;736631;737521
chr1;738098;738781
chr1;739452;740306
chr1;741190;741820
chr1;741906;743389
chr1;743738;744332
chr1;744658;745176
chr1;745203;747194
chr1;747802;748437
chr1;748525;749413
chr1;750275;752158
chr1;76056;77538
chr1;752378;753617
chr1;754173;754445
chr1;755245;757449
chr1;757497;757924
chr1;757931;759400
chr1;759624;761868
chr1;762073;763032
chr1;763730;764422
chr1;764430;766267
chr1;766844;767300
chr1;77948;80290
chr1;768100;770594
chr1;770993;772753
chr1;773437;775107
chr1;776497;779176
chr1;779715;785534
chr1;786072;786694
chr1;788091;790868
chr1;792033;792413
chr1;793113;794372
chr1;796034;796462
chr1;796519;797339
chr1;797516;798853
chr1;81290;83800
chr1;799450;801953
chr1;802160;804967
chr1;806176;807282
chr1;807664;809901
chr1;810344;811912
chr1;812674;813732
chr1;814034;814651
chr1;815338;821955
chr1;822452;824064
chr1;824333;827410
chr1;84017;86260
chr1;828590;829951
chr1;830164;832251
chr1;833003;834387
chr1;834953;837043
chr1;837447;841670
chr1;841889;842749
chr1;842976;846455
chr1;846723;847413
chr1;847536;849980
chr1;850156;853974
chr1;86560;87986
chr1;854756;855328
chr1;855666;858404
chr1;859106;862093
chr1;862446;863049
chr1;863231;866454
chr1;868819;871593
chr1;873501;874792
chr1;88568;89564
chr1;12064;13215
chr1;89770;91956
chr1;91981;92589
chr1;93432;94158
chr1;94302;95066
chr1;95287;96227
chr1;96245;98250
chr1;98340;100354
chr1;101219;104017
chr1;105168;105665
chr1;105665;106057
chr1;106501;107305
chr1;46;743
chr1;13330;16469
chr1;107652;109128
chr1;109328;111233
chr1;111384;112805
chr1;112972;113558
chr1;113855;114565
chr1;115401;116261
chr1;116770;125757
chr1;125943;127567
chr1;127759;128463
chr1;129783;132723
chr1;133646;141229
chr1;16597;17499
chr1;141693;143247
chr1;143466;144229
chr1;144482;145798
chr1;146344;147273
chr1;147624;153926
chr1;152853;152933
chr1;153238;157059
chr1;157604;158620
chr1;159886;163416
chr1;163656;165448
chr1;165645;167049
chr1;17693;18049
chr1;167685;171980
chr1;172236;175816
chr1;176203;176838
chr1;176974;178039
chr1;178279;179059
chr1;179675;180676
chr1;181234;196974
chr1;197197;199982
chr1;200157;201770
chr1;202686;203529
chr1;204334;208530
chr1;18285;18728
chr1;209499;211472
chr1;211621;213423
chr1;214507;217016
chr1;217149;220288
chr1;220545;221481
chr1;221731;222198
chr1;222968;223432
chr1;223958;224317
chr1;224573;225205
chr1;226056;227273
chr1;227978;232246
chr1;18868;21141
chr1;232372;232689
chr1;233159;233232
chr1;233984;235029
chr1;235349;237064
chr1;237710;238609
chr1;238862;239401
chr1;240448;241893
chr1;242137;243594
chr1;245793;248294
chr1;248832;251456
chr1;252086;255529
