"Gene ID","Transcript","# exons","Transcript length","Protein length"
"Cgd2_140","Cgd2_140-RA","2","276","50"
"Cgd2_1810","Cgd2_1810-RA","2","945","314"
"Cgd2_2990","Cgd2_2990-RA","1","714","169"
"Cgd3_2720","Cgd3_2720-RA","7","757","214"
"Cgd3_4320","Cgd3_4320-RA","2","755","84"
"Cgd5_1900","Cgd5_1900-RA","3","1098","353"
"Cgd5_2965","Cgd5_2965-RA","1","98","N/A"
"Cgd5_40","Cgd5_40-RA","1","5655","1884"
"Cgd5_540","Cgd5_540-RA","3","633","196"
"Cgd6_2540","Cgd6_2540-RA","6","1157","381"
"Cgd6_280","Cgd6_280-RA","1","817","79"
"Cgd6_4720","Cgd6_4720-RA","2","820","270"
"Cgd6_4723","Cgd6_4723-RA","2","555","64"
"Cgd7_2213","Cgd7_2213-RA","7","2580","814"
"Cgd7_260","Cgd7_260-RA","2","1085","290"
"Cgd7_5103","Cgd7_5103-RA","2","1187","71"
"Cgd7_760","Cgd7_760-RA","1","2623","690"
"Cgd8_1200","Cgd8_1200-RA","1","4686","1561"
"Cgd8_1390","Cgd8_1390-RA","1","922","273"
"cgd1_10","cgd1_10-RA","1","1929","437"
"cgd1_100","cgd1_100-RA","1","3117","1038"
"cgd1_1000","cgd1_1000-RA","1","897","298"
"cgd1_1010","cgd1_1010-RA","1","727","231"
"cgd1_1023","cgd1_1023-RA","2","993","330"
"cgd1_1040","cgd1_1040-RA","1","1764","587"
"cgd1_1050","cgd1_1050-RA","1","438","145"
"cgd1_1060","cgd1_1060-RA","1","3168","1055"
"cgd1_1063","cgd1_1063-RA","1","1059","89"
"cgd1_1070","cgd1_1070-RA","1","1059","163"
"cgd1_1080","cgd1_1080-RA","2","712","227"
"cgd1_1090","cgd1_1090-RA","1","2435","761"
"cgd1_110","cgd1_110-RA","1","1510","406"
"cgd1_1100","cgd1_1100-RA","1","3312","1103"
"cgd1_1110","cgd1_1110-RA","1","1648","455"
"cgd1_1120","cgd1_1120-RA","1","1755","573"
"cgd1_1130","cgd1_1130-RA","1","714","237"
"cgd1_1140","cgd1_1140-RA","1","807","268"
"cgd1_1150","cgd1_1150-RA","1","381","126"
"cgd1_1160","cgd1_1160-RA","1","894","297"
"cgd1_1170","cgd1_1170-RA","1","1197","374"
"cgd1_1180","cgd1_1180-RA","1","2634","877"
"cgd1_1190","cgd1_1190-RA","1","324","107"
"cgd1_120","cgd1_120-RA","1","1400","431"
"cgd1_1200","cgd1_1200-RA","1","924","307"
"cgd1_1210","cgd1_1210-RA","1","1689","562"
"cgd1_1220","cgd1_1220-RA","1","2277","758"
"cgd1_1230","cgd1_1230-RA","1","3198","1065"
"cgd1_1240","cgd1_1240-RA","1","1683","461"
"cgd1_1250","cgd1_1250-RA","1","7332","2443"
"cgd1_1260","cgd1_1260-RA","3","1119","372"
"cgd1_1270","cgd1_1270-RA","1","1215","393"
"cgd1_1280","cgd1_1280-RA","1","1383","460"
"cgd1_1290","cgd1_1290-RA","1","801","266"
"cgd1_130","cgd1_130-RA","1","2249","690"
"cgd1_1300","cgd1_1300-RA","1","3099","1032"
"cgd1_1310","cgd1_1310-RA","2","1297","309"
"cgd1_1320","cgd1_1320-RA","2","567","188"
"cgd1_1330","cgd1_1330-RA","1","2424","807"
"cgd1_1340","cgd1_1340-RA","1","3072","1023"
"cgd1_1350","cgd1_1350-RA","1","2313","770"
"cgd1_1360","cgd1_1360-RA","1","546","181"
"cgd1_1370","cgd1_1370-RA","2","543","180"
"cgd1_1380","cgd1_1380-RA","1","1041","346"
"cgd1_1390","cgd1_1390-RA","1","1392","463"
"cgd1_140","cgd1_140-RA","1","3722","963"
"cgd1_1400","cgd1_1400-RA","1","2889","962"
"cgd1_1410","cgd1_1410-RA","1","1140","247"
"cgd1_1420","cgd1_1420-RA","1","1542","513"
"cgd1_1433","cgd1_1433-RA","2","1299","432"
"cgd1_1450","cgd1_1450-RA","1","2358","785"
"cgd1_1460","cgd1_1460-RA","1","3153","1050"
"cgd1_1470","cgd1_1470-RA","1","1998","665"
"cgd1_1480","cgd1_1480-RA","1","684","227"
"cgd1_1490","cgd1_1490-RA","1","1668","555"
"cgd1_150","cgd1_150-RA","1","3125","995"
"cgd1_1500","cgd1_1500-RA","1","955","245"
"cgd1_1510","cgd1_1510-RA","1","834","277"
"cgd1_1520","cgd1_1520-RA","1","9027","3008"
"cgd1_1530","cgd1_1530-RA","1","1680","559"
"cgd1_1540","cgd1_1540-RA","1","2034","677"
"cgd1_1550","cgd1_1550-RA","1","1947","648"
"cgd1_1560","cgd1_1560-RA","1","1188","395"
"cgd1_1570","cgd1_1570-RA","1","1749","582"
"cgd1_1580","cgd1_1580-RA","1","2808","930"
"cgd1_1590","cgd1_1590-RA","1","579","192"
"cgd1_160","cgd1_160-RA","1","2986","933"
"cgd1_1600","cgd1_1600-RA","1","393","117"
"cgd1_1610","cgd1_1610-RA","1","1398","465"
"cgd1_1620","cgd1_1620-RA","1","1210","256"
"cgd1_1625","cgd1_1625-RA","1","73","N/A"
"cgd1_1630","cgd1_1630-RA","1","928","165"
"cgd1_1640","cgd1_1640-RA","2","8906","2950"
"cgd1_1650","cgd1_1650-RA","1","402","133"
"cgd1_1660","cgd1_1660-RA","1","324","107"
"cgd1_1670","cgd1_1670-RA","1","1386","461"
"cgd1_1680","cgd1_1680-RA","1","3102","1027"
"cgd1_1690","cgd1_1690-RA","1","1983","660"
"cgd1_170","cgd1_170-RA","1","858","285"
"cgd1_1700","cgd1_1700-RA","1","2488","776"
"cgd1_1710","cgd1_1710-RA","1","1348","297"
"cgd1_1720","cgd1_1720-RA","1","5427","1808"
"cgd1_1730","cgd1_1730-RA","1","1245","414"
"cgd1_1740","cgd1_1740-RA","1","830","261"
